"year","Region","mean"
"1","1970","Atlantic Provinces",169 277777777778
"2","1970","Central Provinces",19119 0416666667
"3","1970","Western Provinces",823 916666666667
"4","1971","Atlantic Provinces",138
"5","1971","Central Provinces",13407 375
"6","1971","Western Provinces",676 208333333333
"7","1972","Atlantic Provinces",144 527777777778
"8","1972","Central Provinces",7552 375
"9","1972","Western Provinces",872 0625
"10","1973","Atlantic Provinces",235 611111111111
"11","1973","Central Provinces",5675 66666666667
"12","1973","Western Provinces",1029 91666666667
"13","1974","Atlantic Provinces",285 277777777778
"14","1974","Central Provinces",6920 08333333333
"15","1974","Western Provinces",1160 97916666667
"16","1975","Atlantic Provinces",191 25
"17","1975","Central Provinces",10816 8333333333
"18","1975","Western Provinces",816 3125
"19","1976","Atlantic Provinces",151 5
"20","1976","Central Provinces",15843 7916666667
"21","1976","Western Provinces",787 1875
"22","1977","Atlantic Provinces",149 527777777778
"23","1977","Central Provinces",9867 45833333333
"24","1977","Western Provinces",776 9375
"25","1978","Atlantic Provinces",106 694444444444
"26","1978","Central Provinces",13315 2916666667
"27","1978","Western Provinces",998 354166666667
"28","1979","Atlantic Provinces",118 277777777778
"29","1979","Central Provinces",12887 8333333333
"30","1979","Western Provinces",626 9375
"31","1980","Atlantic Provinces",77 3333333333333
"32","1980","Central Provinces",8877 70833333333
"33","1980","Western Provinces",722 958333333333
"34","1981","Atlantic Provinces",104 388888888889
"35","1981","Central Provinces",7147 375
"36","1981","Western Provinces",732 854166666667
"37","1982","Atlantic Provinces",110 194444444444
"38","1982","Central Provinces",13165 1666666667
"39","1982","Western Provinces",685 645833333333
"40","1983","Atlantic Provinces",87 4444444444444
"41","1983","Central Provinces",16441
"42","1983","Western Provinces",807 125
"43","1984","Atlantic Provinces",172 833333333333
"44","1984","Central Provinces",13761 7083333333
"45","1984","Western Provinces",806 083333333333
"46","1985","Atlantic Provinces",201 222222222222
"47","1985","Central Provinces",11368 25
"48","1985","Western Provinces",989 895833333333
"49","1986","Atlantic Provinces",125 194444444444
"50","1986","Central Provinces",8563 625
"51","1986","Western Provinces",710 604166666667
"52","1987","Atlantic Provinces",117 117647058824
"53","1987","Central Provinces",7158 5
"54","1987","Western Provinces",676 239130434783
"55","1988","Atlantic Provinces",139 25
"56","1988","Central Provinces",5841 41666666667
"57","1988","Western Provinces",549 041666666667
"58","1989","Atlantic Provinces",443 166666666667
"59","1989","Central Provinces",7916 625
"60","1989","Western Provinces",783 229166666667
"61","1990","Atlantic Provinces",416 75
"62","1990","Central Provinces",7868 25
"63","1990","Western Provinces",1246 20833333333
"64","1991","Atlantic Provinces",460 5
"65","1991","Central Provinces",7115 5
"66","1991","Western Provinces",1554 35416666667
"67","1992","Atlantic Provinces",625 666666666667
"68","1992","Central Provinces",6672 125
"69","1992","Western Provinces",1631 27083333333
"70","1993","Atlantic Provinces",723 083333333333
"71","1993","Central Provinces",4344 83333333333
"72","1993","Western Provinces",805 5625
"73","1994","Atlantic Provinces",715 166666666667
"74","1994","Central Provinces",2998 41666666667
"75","1994","Western Provinces",798
"76","1995","Atlantic Provinces",711 5
"77","1995","Central Provinces",3999 20833333333
"78","1995","Western Provinces",1094 96666666667
"79","1996","Atlantic Provinces",1079 33333333333
"80","1996","Central Provinces",4595 87931034483
"81","1996","Western Provinces",987 9
"82","1997","Atlantic Provinces",1432 33333333333
"83","1997","Central Provinces",4315 61111111111
"84","1997","Western Provinces",945 416666666667
"85","1998","Atlantic Provinces",1220 41666666667
"86","1998","Central Provinces",4013 75
"87","1998","Western Provinces",1063 28333333333
"88","1999","Atlantic Provinces",900
"89","1999","Central Provinces",5083 27272727273
"90","1999","Western Provinces",1409 55
"91","2000","Atlantic Provinces",864 75
"92","2000","Central Provinces",4683 44444444444
"93","2000","Western Provinces",1141 31666666667
"94","2001","Atlantic Provinces",949 75
"95","2001","Central Provinces",6334 19444444444
"96","2001","Western Provinces",877 116666666667
"97","2002","Atlantic Provinces",1533 33333333333
"98","2002","Central Provinces",6035 01388888889
"99","2002","Western Provinces",976 4
"100","2003","Atlantic Provinces",1655
"101","2003","Central Provinces",3417 15277777778
"102","2003","Other Provinces",6114 04166666667
"103","2003","Western Provinces",512 033333333333
"104","2004","Atlantic Provinces",1555 41666666667
"105","2004","Central Provinces",4294 11111111111
"106","2004","Other Provinces",7218 08333333333
"107","2004","Western Provinces",472 25
"108","2005","Atlantic Provinces",1415 66666666667
"109","2005","Central Provinces",4955 63888888889
"110","2005","Other Provinces",8513 95833333333
"111","2005","Western Provinces",639 6
"112","2006","Atlantic Provinces",1509 75
"113","2006","Central Provinces",5667 31944444444
"114","2006","Other Provinces",8915 08333333333
"115","2006","Western Provinces",602 416666666667
"116","2007","Atlantic Provinces",1363 91666666667
"117","2007","Central Provinces",3435 98611111111
"118","2007","Other Provinces",6064 25
"119","2007","Western Provinces",389 016666666667
"120","2008","Atlantic Provinces",1159 58333333333
"121","2008","Central Provinces",4023 98611111111
"122","2008","Other Provinces",7149
"123","2008","Western Provinces",791 816666666667
"124","2009","Atlantic Provinces",1652 83333333333
"125","2009","Central Provinces",3944 26388888889
"126","2009","Other Provinces",7818 04166666667
"127","2009","Western Provinces",933 45
"128","2010","Atlantic Provinces",1829 75
"129","2010","Central Provinces",4368 65
"130","2010","Other Provinces",8584 58333333333
"131","2010","Western Provinces",625 516666666667
"132","2011","Atlantic Provinces",917 583333333333
"133","2011","Central Provinces",3630 72727272727
"134","2011","Other Provinces",0
"135","2011","Western Provinces",365 272727272727
"136","2012","Atlantic Provinces",919 5
"137","2012","Central Provinces",4008 93939393939
"138","2012","Other Provinces",0
"139","2012","Western Provinces",876 291666666667
"140","2013","Atlantic Provinces",678 083333333333
"141","2013","Central Provinces",5102 83333333333
"142","2013","Other Provinces",0
"143","2013","Western Provinces",864 121212121212
"144","2014","Atlantic Provinces",929 375
"145","2014","Central Provinces",3705 84285714286
"146","2014","Other Provinces",6127 68421052632
"147","2014","Western Provinces",1214 88888888889
"148","2015","Atlantic Provinces",908 666666666667
"149","2015","Central Provinces",2863 82608695652
"150","2015","Other Provinces",3048 11111111111
"151","2015","Western Provinces",910 75
"152","2016","Atlantic Provinces",NA
"153","2016","Central Provinces",4278 04347826087
"154","2016","Other Provinces",5699 95
"155","2016","Western Provinces",2039 625
"156","2017","Atlantic Provinces",1044 0625
"157","2017","Central Provinces",6240 51388888889
"158","2017","Other Provinces",NA
"159","2017","Western Provinces",328 64
"160","2018","Atlantic Provinces",1860 28571428571
"161","2018","Central Provinces",8847 61428571429
"162","2018","Other Provinces",NA
"163","2018","Western Provinces",166 444444444444
"164","2019","Atlantic Provinces",1863 58333333333
"165","2019","Central Provinces",9458 61111111111
"166","2019","Other Provinces",11621 4583333333
"167","2019","Western Provinces",3407 25
"168","2020","Atlantic Provinces",1174 66666666667
"169","2020","Central Provinces",6481 18055555556
"170","2020","Other Provinces",8755 54166666667
"171","2020","Western Provinces",2342 68421052632
"172","2021","Atlantic Provinces",1469 08333333333
"173","2021","Central Provinces",5966 6
"174","2021","Other Provinces",8149 29166666667
"175","2021","Western Provinces",2363 70833333333
"176","2022","Atlantic Provinces",1452 5
"177","2022","Central Provinces",6093 79310344828
"178","2022","Other Provinces",6938 22727272727
"179","2022","Western Provinces",1082 29166666667
"180","2023","Atlantic Provinces",1128
"181","2023","Central Provinces",6039 71428571429
"182","2023","Other Provinces",5875 5
"183","2023","Western Provinces",1157
